	text_A	label
183	I had a summer job in Sweden, and my boyfriend came to meet me on á my birthday.	joy
184	I went to practice in Sweden during summer, and I was afraid that á I would not do well.	fear
186	My grandmother died suddenly last summer.	sadness
187	My superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which I á could not but detest him.	disgust
189	Our association had Polish visitors and when they were going back á by boat I did not go to see them off (I am the chairman of the á association).	guilt
190	I was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation.  I was really á surprised and joy was the first emotion I felt, though behind it á there was worry - how shall I succeed ?	joy
191	Our tutorial group was soon to be divided, and we got a list of á names of freshmen, out of which five were to be in my group.  We á read the names and then each group went its own way to a seminar á room.  I wondered how I would cope with the new situation and if á I would succeed as a group leader.	fear
194	At the underground station, a drunkard came to speak to me.  He á tried to ask me something but I did not answer so he began to á speak about me with his companion.  I detested this dirty á growling man.	disgust
197	[ I sometimes quarrel with my mother because she blames me, á though I have not in any way been connected to some events.]	anger
200	My little brother was arrested by the police at the railway station after á he had drunk some beer.	shame
202	I met a dear friend of mine after a long time.  I expressed my feelings á in our own usual way, by mutual scolding and abusing (with á complete understanding) and by touching, patting and taking the á hand of the other person, etc...	joy
203	I felt fear of the purest kind after a car accident.  The á incident and images of horror kept coming back to my mind.  I á wondered what could have happened to my sister, my friend and me, á though nothing very serious actually happened.	fear
204	Two boys whom I know were telling me, in an indecent manner, how á they had teased a young and shy girl I know.  They had despised á her conviction, scorned and touched her.  I got very angry and á did not try to conceal it and gave it back to them.	anger
205	My sweetheart left me, or rather we decided to break it off by á mutual consent.  The consequences were - unrestrained weeping, á feelings of loneliness, hopelessness and disconsolation.  I felt á that I should find a friend, to talk to joyfully and to forget.	sadness
207	After having quarelled unnecessarily and without any reason, and á having been stupidly cross in every way.	shame
209	Forced to fill in a questionnaire.	guilt
211	When my dog ran out on thin ice last spring.	fear
212	When my tennis match was interrupted because a kid cycled right á into the court.	anger
213	[ No response.]	sadness
218	Risk of being involved in a fight after a party.	fear
220	[ Normally I do not feel disgusted.]	disgust
223	When I met an old schhol friend (school love) who works in á Sk+vde.	joy
225	When I was deputy manager during the Summer, certain deputies á took liberties, more than what was normal.	anger
226	When I realized that my girlfriend, whom I like, and I were going á to separate.	sadness
232	I reached the bus stop and realized that I had forgotten my bus á pass.	anger
234	[ Can not think of any situation.]	disgust
235	[ No response.]	shame
241	[ Can not remember.]	disgust
242	[ No response.]	shame
243	I do not have the time for other people's problems.  My á mother-in-law is sometimes depressed and I do not have the time, á the desire or the strength to help.	guilt
244	I was driving and a deer suddenly appeared in front of the á car when there was a lot of traffic behind me.	fear
246	[ No response.]	sadness
250	When my girlfriend became pregnant.	joy
252	The time when someone let the air out of the tyres of my cycle.	anger
255	[ No response.]	shame
257	[ No response.]	joy
261	When I passed an exam.	joy
264	The inability to read a book at college.	sadness
266	I drink wine too often.	shame
268	I worked at a lawyer's office during Summer and I got a very á good reference from him.	joy
269	I had been watching a triller a dark night in the country and I á had to go the outside toilet on my own. 	fear
271	When I began to read a thick book, which I had a limited time to á read.  Also when I have a lot of work to do and I cannot keep up.	sadness
272	Someone vomited on the street.	disgust
273	I can not think of any incident when I have felt very ashamed.  á There are small incidents that I am ashamed of, for instance, á not sending money to the children in Ethiopia.	shame
274	I had lunch with my ex-boyfriend and did not mention it to my á fiancee.  I felt guilty despite the fact that I felt nothing for á my ex-boyfriend.	guilt
275	When I was finally qualified for my profession.	joy
276	Someone attacked me with a knife.	fear
277	Someone drove into my car and then denied that it had happened.	anger
278	When I was told that my friend's wife had cancer.	sadness
279	When I saw a dog which had been knocked down by a car.	disgust
280	When I boxed my child's ears.	shame
281	When I was fined for speeding.	guilt
282	I stopped working (had a boring job).	joy
284	Quarrel in the family.	anger
285	When I am alone in a room with no contact with anyone - á loneliness drains me.	sadness
287	Emptied a bucket of water in a hospital.	shame
288	When I feigned sick leave from work.	guilt
289	When I get a hug from someone I love.	joy
290	I was driving very fast on a small road and I met an oncoming car á in a right handed bend.  The other driver was on his own side of á the road and I had to skid out of it to avoid a collision.  It á was dark.	fear
292	After an operation I had to stay in bed for a long time.	sadness
293	I was forced to stay in the canteen and eat the food that I had á not asked for but got it anyway.	disgust
294	When I did not buy what I had promised to.	shame
295	By mistake I took a book from the library which was not supposed á to be loaned out.	guilt
297	My 2 year old daughter disappeared in a moment of inattention; I á was responsible for her.	fear
298	A colleague asked me for some advice and as he did not have á enough confidence in me he asked a third person.	anger
299	I wanted to be pregnant and did not succeed, so I was depressed    á at every menstruation.	sadness
300	In a warm bus full of people, someone vomited and the whole bus á stank.	disgust
301	I complained about a colleague's behaviour as she goes back on á her word, is often absent and is irresponsible.  I found out that á she was an alcoholic and was trying to fight againt her á addiction.	shame
302	I spoke to my mother on the phone.  She had skin cancer and was á waiting to be operated.  I forgot to ask her the date of the á operation and just before finishing our conversation she gave me á the date in passing. 	guilt
303	When I was at a party I met an old friend from an adult á education course.  We had not met for 2 years but had both thought á a lot about each other.  A wonderful experience.á 	joy
304	When I was cycling through the park late one night, two people á jumped out of the woods and tried to stop me.  There were á shouting something at the same time.	fear
305	When close relatives tried to dissuade me from studying á Psychology because of its low status.	anger
306	I had a long discussion on politics with an acquaintance.  He á was more knowledgeable than me and I failed to explain my point á of view and was misunderstood so I felt depressed and left.	sadness
307	When I read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.	disgust
310	When I recently got an appartment in central Gottenburg.	joy
311	When I saw a large spider crawling up the wall.	fear
312	My employer took too many aspirins for a bad back and also drank á an enormous amount of spirit.  This was dangerous  and he did á not understand that he had done anything wrong.	anger
313	When I left New York, and all my family and my friends behind me.	sadness
314	When I slept with a guy because my best friend wanted me to.  á He had never had intercourse with anyone and had a terrible á complex about it.	disgust
315	When I dated a close girlfriend's boyfriend a few times. He told á me that it was over between them and I accepted it.  When she á found out she finished our friendship.	shame
320	I feel sad about an event I can not influence.	sadness
325	When I was in a little fishing boat and we ran into hard weather á in the open sea.	fear
327	I felt sad and depressed when I heard that our cat had died.	sadness
328	When I was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.	disgust
329	At primary school, when I vomited in front of others in the middle  á of a lesson.	shame
330	I arrived an hour late for an important meeting ( I had á misunderstood the time).	guilt
331	When I was acceptted as a student of psychology.	joy
335	At a certain person's lack of cleanliness, at home and á personally.	disgust
336	When I made the same mistake that I had accused someone else of, and á this was obvious to a third pereson.	shame
337	When I lost something that was valuable to my sister.	guilt
342	My parents attitude towards each other when they should become á reconciled, despite my father's long-time addiction.	disgust
343	When I was caught stealing money from my father.	shame
344	I stole a coconut cake from a reception table and when I put á in my mouth I realized that the host was watching me.	guilt
345	When I was reprimanded by the manager of the hotel where I á worked during Autumn 1984.	fear
348	When I was about to clean the draining board and saw it looked á underneath the sink (I live in a students hostel).	disgust
350	As the only person in my family into academics, I ought to have á looked after my younger (and only) sister better, with respect to á her education and life experiences.	guilt
352	Slept in a chapel and in the middle of the night I realized that á there was someeone else in the chapel.  I never discovered who á it was and why he was there.	fear
353	When we were in high school a few guys sometimes provoked a á friend of mine.  They called her a pig and then grunted.  This á irritated most of the girls.  Once, one of the girls got angry at á my friend and said something nasty and this made me terribly á angry.	anger
355	A mother who shouts at her child for nothing.	disgust
356	When I complained to my mother about how untidy the kitchen á loooked, she boxed my ears ( this had never happened before).	shame
357	As I could not be home before midnight I called home at 11.30 and á asked them to leave the door open so that I could get in.  I á actually woke up the whole family by calling them so late.  My á mother could not go back to sleep, besides she had a conference   á the next day and really needed to sleep.	guilt
358	When I got through the first day here at the department.	joy
360	When my boyfriend sat up half the night playing computer games á with a friend.	anger
361	When I had to leave my mother and my sister after a week's visit.	sadness
362	When I saw a big spider from very close.	disgust
363	When I asked a friend to return the money that I had loaned her á and then remembered that she had repayed me in several ways.	shame
364	When one of my parents insinuates something about the other á (they are divorced).	guilt
365	When i was asked to be a child's godmother.	joy
366	On the way down a ski slope which was difficult and steep.	fear
368	When I was left alone one week-end without being prepared for á it.	sadness
369	The first time that I saw a surgeon cut off a leg and put it in a á black rubbish bag.	disgust
371	When I demand too much from my friends.	guilt
375	When I applied for a job which I thought I had a good chance of á getting, I was not even granted an interview and did not get the á job.	sadness
377	When I as a child of 9 or 10 I was playing doctor with the á neighbours boys their mother caught us.	shame
382	When I argue with my mother about the way she treats her two á children differently.	sadness
383	Spit and vomit.	disgust
384	Spots on the seat covers of my husband's car.	shame
385	Not speaking to my sister-in-law due to lack of interest in a á relationship on my side.	guilt
386	"When I recently managed to get my first consulting assignment á \myself\"" i.e on my own initiative."""	joy
387	I was within a hair's breadth of knocking down a drunkard who á suddenly ran into the street.  The fear came later when I     á realized what could have happened.	fear
389	A study visit to a chicken factory : the butchery, the smell, á the environment and the noise.	disgust
390	Confession to my parents about my involvement in a moped theft.	shame
391	"[ No answer as I see very little difference between shame and á guilt.  Therefore see answer for \shame\"".]"""	guilt
395	When the result of a project work was treated nonchalantly á intead of being criticized by the teacher.	sadness
396	When programmes on violence or pornography are shown on T.V.	disgust
397	When I talked maliciously about a colleague at work to someone á else.  Immediately afterwards I felt ashamed.	shame
398	When I decided to take a week s holiday without consulting the á family first.	guilt
399	After my girl and I talked things over our relationship changed á and became positive.  A diificult time turned into pleasant one.	joy
402	When my half brother became seriously ill with cancer and died á later.	sadness
403	A film were a woman was attacked and raped.  One did not see the á worst but it had the desired effect - very strong.	disgust
404	I made a comment and it was interpreted completely differently á from what I had meant.  When I said it I realized how my mother á had understood it.	shame
405	I had promised to visit my girlfriend but for different reasons á could not make it.  I rang up later to tell her that I could not á come.	guilt
406	When I was offered a high position of trust, which I later á accepted.	joy
407	I had the window open and the door was shut so that the kitten á would not go out.  My partner came in and started talking about á something and I forgot about the window and suddenly I saw the á kitten hanging from the window frame. I was rigid with fright á till I got hold of her.	fear
409	When I was told that I had not been successful in getting the job I á had been expecting.  I was sure that I was sufficiently á qualified.	sadness
410	When my cat vomited and a worm came out which was still alive.  I á was forced to wipe it up.	disgust
411	When I was a child it was found out that I had taken off my á clothes outdoors.  It was summer and my friend and I were out á in the woods.  It had felt exciting at that time.  My parents á discovered that my trousers were back to front and I felt á ashamed.	shame
412	When I stole money from my mother and she asked me later if I was á responsible.  I never admitted it.	guilt
413	[ Cycling in the spring sunshine gives me such delight.  á Happiness is to be healthy, my wonderful finance.  Simply being á here on earth.]	joy
414	When my relationship with my family is very poor I often fear á being excluded from the group, a fear which is stronger in á situations when an argument is on hand.	fear
415	Recently when my sister, who is four years younger than me and á very spoiled, shouted at my mother for no apparent reason .  The á heart-broken expression on my mother's face made me feel very á angry.	anger
416	Disgust is a feeling that I have never experienced with peoplie á but , on the other hand, it has been with repulsive animals, i;e á snakes on T.V.	disgust
417	When relatives have acted strangely, and unfriendly towards me.	shame
419	On a boat trip to Denmark, 14 of us had a lot of fun and we á spent SEK 10 each on one armed bandits and against all odds we á won the jackpot of SEK 1000.	joy
420	A rainy day, I was cycling downhill and a car door suddenly á opened and while trying to avoid it the back wheels of my bike á got caught in the tram tracks.  I somersaulted but had no á injuries.	fear
422	My girlfriend who had spent 6 months abroad broke off our á relationship by letter.	sadness
423	At the police centre a man between 40-50 was brought in.  He was á very drunk and in all likelihood had not slept indoors for a long á time and had relieved himself in his trousers.	disgust
424	A customer at the shop where I worked came in and asked if the á goods that he had ordered had arrived.  I had totally á forgotten about this order and I tried to offer weak excuses.	shame
426	When I was at the end-of-term party last week and had fun - was á happy and sang and drank only soft drinks.  It is possible to á have a good time without alcohol.	joy
427	Last Summer I was walking along the beach in a bikini and an á awful man came cycling after me.  He was shouting and I ran as á fast as my legs could carry me.	fear
428	In a course I thought that I deserved good marks but I only got á ordinary marks with no justification as to why I was given these á marks.	anger
430	I had some sort of a stomach virus last week and  I vomited in á college in the morning, then in the cake shop, three times during á the trip home and again when I got home.	disgust
433	When I felt that my love was returned.	joy
434	When I was convinced that someonne had broken into my flat and I á woke up and heard sounds that frightened me.	fear
438	When as an 8 year old, I wet myself in school.	shame
439	When as a 7 year old, I stole money from my mother.	guilt
440	When I recently got a very positive answer from a clinic telling á me that they would willingly assist and collect data for me for a á clinical pilot study.	joy
441	Every time I meet a certain dog that has once bitten me.	fear
442	When after a lot of provocation my child threw a plate on the á floor.	anger
444	When I tried to explain to my child as to why there were á magazines wiith naked girls on them at the kiosk.	disgust
446	When I was forced to decline the invitation to my mother's 70th á birthday because of my work committments in another area.	guilt
448	A late Saturday night I found myself locked in the central á underground station of Stockholm with a group of 50 hard rockers á who were drunk and equipped with various kinds of chains, etc.	fear
449	When I was forced to call the telephone company about a bill á concerning a disconnected phone belonging to my landlord.  The á bill was four months overdue and in the meanwhile he had been á using my phone, he seemed to have no intention of having his own á phone reconnected.	anger
450	Whenever I read or think about the way people treat animals and á nature.	sadness
452	When I was 13 years old I wrote passionate love letters to my á boyfriend and I later found out that his sister had read them.	shame
454	When my 6 month old son is happy and well.	joy
455	A four year girl ran away from her father straight in front of my á car.  I was forced to use the emergency brakes.	fear
456	[ After an examine I had been satisfied with.]	anger
459	About Sweden's arms exports.	shame
462	When my husband and I spent a night by ourselves in a house which á was in an area on the outskirts of a large town with which we were  á not familiar.  We  heard strange noises outside the house and the  á house had glass walls so the whole thing was even more á frightening.	fear
463	Jealous of my husband's old girlfriend.  We met her with her á husband and there was a lot of reminiscing.	anger
464	When my daughter had problems with her friends and I could see á her predicament from the window.  She was given a the cold á shoulder.	sadness
466	When friends found out that I had been lying about where I had á been on a particular occasion.	shame
470	Exchange of points of view with my sister on a family matter.	anger
471	Treatment to become pregnant with a negative result.	sadness
474	When I gave birth to a child and saw that it was normal when it á was put against my breast.	joy
477	When I first heard that Tage Dannielsson had died.	sadness
479	On the train a drunk person touched my baby and I reacted very á disapprovingly.  I felt ashamed later as the person had not been á aggressive though he could have been.	shame
480	I get irritated with my son when he screams or is sick all over á his clean clothes.	guilt
482	"A gang of screaming and drunk youths \captured\"" a tram."""	fear
483	An unjust refree decision at a sports event when I was the team á leader.	anger
484	When my girlfriend left me.	sadness
485	I was dominated by a certain person and even though I knew it I á could not change my own reactions.	disgust
488	Yesterday, when the final whistle blew at the final match between á OIS and IFK and it was certain that OIS had won the Swedish á title.	joy
490	A drummer who had borrowed my drums destroyed both the drumskin á and the sticks.  He did not repair them nor did he tell me about á it.	anger
492	A friend unjustly put the blame on me to relieve his conscience á and also spread lies for the same purpose.	disgust
493	My behaviour at a recent party.  I passed out early, luckily.	shame
494	When I was face to face with my deceived friend after sleeping á with his wife.	guilt
495	When I dived among sharks and the brightly coloured fish on the á outer reef of Tvavni, Fidgi.	joy
498	When I could not do anything because of a bad back.	sadness
499	When I discovered that the house we had hired in Tonga was full á of cockroaches.	disgust
502	When I passed the driving test three weeks ago and got my á licence.	joy
504	[ No response.]	anger
507	[ No response.]	shame
508	[ No response.]	guilt
510	When a guy chased me when I was out jogging.	fear
512	[ No reponse.]	sadness
513	[ No response.]	disgust
514	[ No response.]	shame
516	[ No response.]	joy
517	[ No response.]	fear
520	[ No response.]	disgust
521	[ No response.]	disgust
522	[ No response.]	shame
523	[ No response.]	guilt
524	I feel unbelievably happy about the relationship between my á boyfriend and me, it is a reoccurring feeling.	joy
526	When I argue with my boyfriend, I feel as though he feels á superior to me.	anger
527	When I failed an exam last Summer.  I had worked very hard for it á and I was very disappointed thinking that it was hopeless to á continue at college.  I did overreact.	sadness
528	[ No response.]	disgust
529	[ No response.]	shame
531	I was very happy when I got an attractive Summer job.	joy
532	The birth of my child.	joy
536	 The smell of garlic in rush-hour bus.	disgust
537	"I fell on the ground while crossing the street.  My cap covered á my eyes and I felt quite \difficult\""."""	shame
539	During the Christmas holidays, I met some of my old friends, á after not having seen them for six months.	joy
540	We were driving a car of a friend of mine when we turned in the á wrong direction towards an unknown district, and nearly drove á down a precipice.	fear
541	When our religion teacher presented shocking sectarian thoughts á and doom's day as official teaching.	anger
542	My grandfather died, when I was an exchange student in the USA.	sadness
545	In the underground's escalator, a youngish bum asked me for á money.  Although I did not give him anything, the fellow told me á that I was really good-looking.  A man who was in front of me á also turned to look at me.	joy
546	I was afraid of moving away from home and moving to Helsinki for á my studies.	fear
551	I ate a Runeberg's cake, though I knew that I would immediately á put on a kilo.	guilt
553	Once I had to go home on foot at 5 a.m. I had to pass through a á forest and I was going alone.	fear
556	When I went home by train from Sicilia, I was molested by a man.	disgust
557	I lied to someone and some time later this person found out that á I had not told him the truth.	shame
558	I had to decline an appointment which had been very important for á the other person. For this reason we even got into trouble.	guilt
560	A friend's father had died, I was to come and see this friend á although I did not know his family.	fear
563	A friend's boy-friend treated her very badly, let her serve him, á provoked her and just utilized her.	disgust
564	I had lied to a person because I had thought that I could not á tell him the truth. When he found out he was not angry but á understanding. We talked the whole thing over.	shame
566	After having considered it for hours I was able to overcome my á scruples and to call a friend with whom I had fallen in love. I á realized that my decision was right - and was very glad.	joy
568	I moved to a flat. A friend who had lived there before, had left á the flat in a terrible mess. I was very angry about that á sloppiness and impudence.	anger
569	My father had a complicated operation. A long time before and á also a long time after that, we did not know how he would get á over it. During all that time I felt very sad.	sadness
570	It was in a tramway-carriage: A stranger insulted a girl just á because she blew her nose. I detested his behaviour.	disgust
571	Quite recently I realized that I had had some erroneous views á about life. For instance, I had always lived for other people, á had forgotten my own person and suppressed my own feelings. I was á ashamed because I had not been concious of that until I had a á conversation about it with a person.	shame
572	I had a quarrel with near persons. I said many ill-considered á things and I regretted it when it was to late.	guilt
574	I was riding with a friend in his car. At a speed of 120 km/h on á the snow-covered motorway I would have liked to get out.	fear
575	Meeting a male friend with whose wife I was having an affair.	guilt
577	Climbing a mountain to see a view, towards the top we suddenly á came across a ledge with a nearly sheer drop on either side, á which I had to cross.	fear
578	A friend suggested in a round-about way that the reason we were á late for something was because of me, and that I'm often late. I á know this was partly true, but felt it unjustified that á particular time and I felt I couldn't do  anything about it á anyway (i.e. being late).	anger
579	Talking to a very good friend who had just had a very bad á experience which was changing his whole way of looking at life á etc.	sadness
580	I came across a group of people with the same basic ideas/beliefs á who were all fighting and going against what they would say was á good.	disgust
581	I was working in a job in which I could not work quickly enough, á and was told that my work was not up to standard.	shame
582	I had wasted some time instead of doing something I needed to do á to give to a friend. (Also in the time I wasted I had done some á things I did not consider morally right).	guilt
584	When my brother was very late in arriving home from work.	fear
587	During a movie in which I saw the effect of white settlers in á Africa.	disgust
588	When I got a bad result for one of my assignments.	shame
589	Leaving a friend of mine alone at a dance - I felt I should have á kept her company.	guilt
591	At my father's treatment of my mother, at his disregard for her, á and not being committed to her.	anger
594	For the above: guilt at not living up to my own moral á expectation, guilt for not being the type of person my patents á wanted, guilt for just about bloody everything, just realising á that I have failed drastically in my own eyes.	guilt
595	I was rock-climbing and absailing & felt OK, but suddenly as I á was going over the cliff I was hit by fear - I couldn't go on á absailing down the cliff and had to be actually hauled back up á it.	fear
596	I told my boy friend not to park in a certain place because the á car would ger towed away - he didn't listen and it was towed away. á At that stage, our finances were below the poverty line & it á cost us $10.00 - all the money we had to get us through that week á (including rent).	anger
597	My sister won a scholarship to Norway and it was particularly as á she walked across the tarmac to get on the plane and she looked á back at us.	sadness
598	I work part-time as a shop-assistant and a customer spoke to me á very loudly about an Indian man & white woman with children - how á horrible that was and would I want to have little dark children.	disgust
